Furman @ Clemson: 7-48,-2,4.95,368,1
,,,,
Indiana St @ Louisville: 7-31,2,2.65,152,1
,,,,
Syracuse @ Wake Forest: 41-24,3,0.91,13,0
,,,,
NC State @ Louisville: 52-10,2,-0.12,-107,0
,,,,
Iowa State @ Kansas: 27-3,1,-2.35,-63,0
,,,,
TCU @ Baylor: 16-9,3,-0.55,-8,0
,,,,
Wisconsin @ Penn State: 10-22,-2,0.04,74,1
,,,,
Arkansas State @ Alabama: 7-57,0,3.44,208,1
,,,,
The Citadel @ Alabama: 17-50,-1,7.01,286,1
,,,,
Georgia @ Kentucky: 34-17,1,-1.5,-134,0
,,,,
USC @ Arizona: 24-20,-2,-1.63,-120,0
,,,,
Oregon @ Arizona: 15-44,-2,1.74,195,1
,,,,
Rice @ Southern Mississippi: 22-40,-1,3.95,304,1
,,,,
Old Dominion @ East Carolina: 35-37,1,2.11,221,1
,,,,
Charlotte @ Florida Atlantic: 27-24,0,0.72,112,0
,,,,
Cincinnati @ Miami (OH): 21-0,1,-0.46,-35,0
,,,,
Miami (OH) @ Northern Illinois: 13-7,2,2.18,168,0
,,,,
Central Michigan @ Eastern Michigan: 7-17,-1,2.43,211,1
,,,,
Incarnate Word @ New Mexico: 30-62,0,-0.28,114,1
,,,,
Colorado State @ Boise State: 28-56,-3,1.04,-17,1
,,,,
Southern Alabama @ Georgia Southern: 13-48,-4,3.07,68,1
,,,,
Appalachian State @ Arkansas State: 35-9,3,-1.9,-54,0
,,,,
Alabama State @ South Alabama: 7-45,0,2.19,177,1
,,,,
Tulane @ South Florida: 41-15,2,-1.39,14,0